Peak	PeakRanges	Gene	rObs	pvalZ
1	18	chr1:827597-860227	LINC01128	0.9994631448585	7.07117353559994e-09
2	31	chr1:1001137-1013497	ISG15	0.966832263604191	0
3	33	chr1:1020119-1020123	AGRN	1	7.66904906246424e-09
4	46	chr1:1232236-1232237	B3GALT6	0.999140893312203	0
5	53	chr1:1308596-1308597	PUSL1	1	7.66904906246424e-09
6	56	chr1:1324801-1324802	CPTP	0.99957921310992	3.17628501278477e-09
7	71	chr1:1471764-1471784	ATAD3B	0.999862571290494	2.74443623382581e-09
8	72	chr1:1512161-1512530	ATAD3A	0.999739685014462	1.47584189646999e-07
9	78	chr1:1615414-1617560	MIB2	0.999023513826903	9.68114477473137e-13
10	80	chr1:1632172-1632179	MMP23B	1	0
11	95	chr1:2073461-2073462	PRKCZ	0.99711997211425	3.97164801047012e-09
12	100	chr1:2228318-2228319	SKI	0.993008642463391	4.44089209850063e-16
13	105	chr1:2391774-2394005	RER1	0.98066000161807	1.75526260193237e-12
14	111	chr1:2530063-2530064	TNFRSF14	0.0173983623595328	0.554173238451254
15	114	chr1:2556221-2556366	TNFRSF14	0.964045299758971	0
16	116	chr1:2586749-2586798	TNFRSF14	0.163721354308905	0.0517643853040405
17	137	chr1:3625014-3625050	TPRG1L	0.99957921310992	1.73976714923363e-07
18	139	chr1:3652515-3698058	TP73	1	4.10349678957589e-05
19	147	chr1:3857266-3857604	DFFB	0.999380009683106	7.66053886991358e-15
20	149	chr1:3900403-3900416	LINC01134	1	0.000143540578803725
21	168	chr1:5992261-6065753	KCNAB2	0.940712541387125	8.85957973650875e-14
22	173	chr1:6206118-6206119	RNF207	1	0
23	186	chr1:6555306-6555309	TAS1R1	1	0.150190915343106
24	187	chr1:6579993-6579994	ZBTB48	0.999140893312203	0
25	189	chr1:6613730-6613731	PHF13	1	0
26	190	chr1:6624865-6625192	THAP3	0.999380009683106	0
27	203	chr1:7771295-7772707	VAMP3	0.999739685014462	8.2399531642352e-11
28	205	chr1:7784319-7784703	PER3	0.999948983496128	2.65323985004784e-10
29	209	chr1:7961691-7961969	PARK7	0.984475624448765	3.42317987289675e-08
30	216	chr1:8317825-8324330	SLC45A1	1	0
31	221	chr1:8878834-8878835	ENO1-AS1	1	5.45634574744547e-07
32	222	chr1:8945867-8945887	CA6	0.9990500814203	4.44089209850063e-16
33	228	chr1:9234774-9239844	H6PD	0.998171692977503	0
34	229	chr1:9292893-9355707	SPSB1	0.99957921310992	9.86923764934033e-10
35	233	chr1:9539464-9539465	SLC25A33	0.995437617390061	0.000782393506256196
36	244	chr1:9943427-9943475	NMNAT1	0.99957921310992	0
37	246	chr1:9997227-9997228	RBP7	0.999687635573238	1.00919272938427e-13
38	247	chr1:10032831-10033274	UBE4B	0.990391767127488	6.74381328558127e-10
39	248	chr1:10210804-10232329	KIF1B	0.991847143487125	4.57375104456759e-09
40	251	chr1:10399063-10399064	PGD	0.996242218245587	0
41	257	chr1:10474949-10474950	PEX14	0.989616195293496	2.61502778653444e-07
42	262	chr1:11012399-11013728	TARDBP	0.991776352372178	0
43	271	chr1:11189354-11189355	ANGPTL7	1	0
44	272	chr1:11273205-11273528	UBIAD1	0.998860645806415	5.87205839508442e-11
45	278	chr1:11654374-11654910	FBXO44	0.99957921310992	2.90333818098176e-08
46	280	chr1:11664199-11664200	FBXO6	0.999380009683106	2.62074806300916e-11
47	283	chr1:11736083-11736175	AGTRAP	0.993834670150787	6.97071718125386e-08
48	287	chr1:11806095-11806260	CLCN6	0.998976832298039	2.35248862612281e-08
49	292	chr1:11934716-11934717	PLOD1	0.999895882138299	5.30437249679494e-10
50	294	chr1:11980180-11980312	MFN2	0.999380009683106	8.2855069472032e-09
51	295	chr1:12019497-12019498	MIIP	0.998757469796437	2.89657187124703e-13
52	296	chr1:12063302-12125899	TNFRSF8	0.999645766903515	7.71049890602171e-13
53	298	chr1:12166990-12167003	TNFRSF1B	0.989484823682342	0.00123900470082028
54	339	chr1:13700239-13749436	PRDM2	0.939293192286966	1.0108100567674e-07
55	345	chr1:15152531-15153768	TMEM51	1	0
56	347	chr1:15247271-15305780	FHAD1	0.999948983496128	1.26010313294955e-12
57	351	chr1:15409887-15409888	EFHD2	0.984555780998122	2.37601049946079e-11
58	356	chr1:15526812-15526848	DNAJC16	0.998616384713869	0
59	360	chr1:15617457-15617458	DDI2	0.996182771851047	0
60	363	chr1:15684319-15684556	PLEKHM2	0.997146532539149	0.000603078233151089
61	364	chr1:15736257-15736258	SLC25A34	1	0
62	368	chr1:15756658-15764953	FBLIM1	0.999862571290494	8.3164082287368e-09
63	370	chr1:15847706-15847707	SPEN	0.959045605504061	2.33146835171283e-15
64	371	chr1:15848146-15848147	SPEN	0.112629369641311	0.222386645422643
65	387	chr1:16367087-16367265	SZRD1	0.986357749797122	0
66	389	chr1:16440720-16440736	NECAP2	0.984105522277218	0
67	390	chr1:16460947-16460948	NECAP2	0.152407769818551	0.0846690815517934
68	401	chr1:16889517-16889706	CROCC	0.227839229645274	0.0130072005215527
69	403	chr1:16921930-16921931	CROCC	0.988440683036597	4.10782519111308e-15
70	414	chr1:17308194-17308197	PADI4	0.999789628692318	0.130580801295403
71	435	chr1:19251804-19251805	MRTO4	0.99957921310992	0
72	442	chr1:19596978-19647610	NBL1	1	1.64301905414277e-12
73	447	chr1:19882394-19882395	OTUD3	0.999948983496128	0
74	468	chr1:20589096-20589097	CDA	0.999141100981972	0
75	469	chr1:20633457-20633458	PINK1	0.999862571290494	7.7715611723761e-16
76	482	chr1:21440127-21468550	NBPF3	0.999739685014462	0
77	493	chr1:22030655-22030656	LINC00339	0.999739685014462	7.58584322024802e-08
78	492	chr1:22025510-22053486	CDC42	0.946633039414099	6.2241720844014e-07
79	494	chr1:22052926-22052927	CDC42	0.0693350765773243	0.482888523483234
80	495	chr1:22059196-22059197	CDC42	0.0765895441545167	0.48535355627107
81	498	chr1:22451850-22451851	ZBTB40	0.993989445075588	0
82	501	chr1:22636627-22637580	C1QA	1	1.58973048203226e-06
83	503	chr1:22653188-22653236	C1QB	1	4.1902592506915e-11
84	504	chr1:22710838-22775178	EPHB2	0.999739685014462	4.14474741750048e-07
85	508	chr1:23019442-23019493	KDM1A	0.991215441095185	4.87387907810444e-14
86	523	chr1:23581494-23581495	MDS2	0.997990392862042	2.34586794434222e-11
87	525	chr1:23691741-23692306	RPL11	0.796358647158362	0.134875840506801
88	526	chr1:23743154-23743472	PITHD1	0.112566154110253	0.280361963563927
89	527	chr1:23772693-23778296	PITHD1	0.164078409601497	0.120596887766358
90	528	chr1:23778417-23785192	PITHD1	0.994978553409195	1.01372035210545e-08
91	529	chr1:23791144-23793653	LYPLA2	0.999380009683106	8.1556983388964e-13
92	535	chr1:23956838-23960968	PNRC2	0.986860267274303	0
93	546	chr1:24415801-24415814	NIPAL3	0.986369826448385	2.33146835171283e-15
94	547	chr1:24502350-24514373	RCAN3	0.984677960246711	3.7800971364188e-07
